-10.835,16.9119,1
-24.3671,23.5275,1
-5.1407,-23.6229,-1
-0.1689,-22.8539,-1
-9.5473,-23.4394,-1
-18.7816,-2.1807,1
-18.6269,-15.0878,1
7.4201,-2.7598,-1
-5.3432,0.7338,1
-22.297,-24.7858,1
-9.331,24.5956,1
19.582,21.8893,-1
17.754,-6.1833,-1
-2.0051,12.5807,1
-14.3492,21.0868,1
-2.1784,6.8603,1
8.6436,-18.8495,-1
15.8916,3.2239,-1
-2.6183,-17.2838,-1
11.5582,11.8721,-1
-3.3849,21.3541,1
-16.3894,18.7269,1
-18.663,-1.7296,1
-17.6585,-6.221,1
7.2721,0.1369,-1
-13.4498,12.444,1
-4.4341,9.4528,1
5.1494,20.5209,1
2.2903,15.5363,1
-18.7787,-11.2203,1
-23.8136,-1.7166,1
-8.6337,13.1971,1
-11.0255,5.3114,1
12.9019,-5.5193,-1
-23.5287,-1.6461,1
-7.9744,15.0026,1
-1.9539,11.0146,1
19.9077,-2.2043,-1
-7.0356,16.1904,1
17.4004,14.183,-1
8.0241,-1.9447,-1
-16.238,1.4097,1
-0.2845,-17.0682,-1
19.1967,-13.5682,-1
-6.9026,-0.0378,1
6.8869,-16.6824,-1
-15.2556,1.9596,1
-0.2268,22.0201,1
-2.31,5.5673,1
17.7247,-10.75,-1
-4.5685,4.2793,1
-2.1231,-9.4635,-1
17.5671,3.8035,-1
-7.8664,-6.0,1
9.8805,15.4177,-1
-5.891,18.466,1
0.1779,-20.6877,-1
-3.4042,-10.1679,-1
-15.6421,3.7968,1
17.7046,18.7352,-1
-12.5477,-16.5835,1
-22.5027,22.571,1
8.8978,-15.4942,-1
-11.6447,4.5928,1
17.9346,10.3282,-1
0.3334,12.1733,1
23.5086,-4.124,-1
-15.6241,-2.3333,1
16.7747,-1.2858,-1
7.5183,-15.9296,-1
-15.7021,-9.2938,1
10.9491,3.5891,-1
-9.9431,14.0425,1
0.0917,-5.4855,-1
9.1086,-4.9224,-1
-21.2312,11.689,1
11.9714,7.7953,-1
17.1981,12.328,-1
11.525,-24.458,-1
-20.8009,24.083,1
-7.8356,16.6236,1
7.5423,2.8816,-1
-10.8051,-7.9938,1
-9.214,10.3263,1
21.9558,-24.8945,-1
-11.0643,23.8984,1
24.5917,23.6257,-1
-8.8287,5.9162,1
16.1672,2.1173,-1
5.3142,7.3047,-1
0.7351,-0.6769,-1
-18.6269,6.1759,1
-9.5462,-9.6,1
22.6993,3.808,-1
-0.2385,20.3068,1
-7.7596,21.8621,1
11.3241,11.8599,-1
23.1348,-0.4106,-1
-3.7645,-16.8121,-1
-17.667,-11.139,1
